id,name,type,organ,ontology_id
CL:0000071$$1387,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000412$$1388,endothelial cell of arteriole,CT,blood_vasculature,CL:1000412
CL:0000057$$1389,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1390,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
FMA:280966,Capillary network of prostate,AS,blood_vasculature,FMA:280966
CL:0000071$$1391,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:0002144$$1392,capillary endothelial cell,CT,blood_vasculature,CL:0002144
ASCTB-TEMP:seminal-vesicle-arterial-branches-of-prostatic-artery,seminal vesicle arterial branches of prostatic artery,AS,blood_vasculature,ASCTB-TEMP:seminal-vesicle-arterial-branches-of-prostatic-artery
CL:0000071$$1393,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1394,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1395,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1396,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
UBERON:0007315,internal pudendal artery,AS,blood_vasculature,UBERON:0007315
CL:0000071$$1397,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1398,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1399,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1400,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
UBERON:0008320,common penile artery,AS,blood_vasculature,UBERON:0008320
CL:0000071$$1401,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1402,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1403,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1404,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
ASCTB-TEMP:bulbourethral-artery,bulbourethral artery,AS,blood_vasculature,ASCTB-TEMP:bulbourethral-artery
CL:0000071$$1405,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1406,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1407,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1408,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
ASCTB-TEMP:cavernosal-artery,cavernosal artery,AS,blood_vasculature,ASCTB-TEMP:cavernosal-artery
CL:0000071$$1409,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1410,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1411,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1412,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
UBERON:0008321,deep artery of penis,AS,blood_vasculature,UBERON:0008321
CL:0000071$$1413,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1414,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1415,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1416,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
UBERON:0015174,helicine artery of penis,AS,blood_vasculature,UBERON:0015174
CL:0000071$$1417,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1418,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1419,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1420,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
UBERON:0001340,dorsal artery of penis,AS,blood_vasculature,UBERON:0001340
CL:0000071$$1421,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1422,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1423,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1424,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
UBERON:0008322,deep artery of clitoris,AS,blood_vasculature,UBERON:0008322
CL:0000071$$1425,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1426,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1427,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1428,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
UBERON:0008323,dorsal artery of clitoris,AS,blood_vasculature,UBERON:0008323
CL:0000071$$1429,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1430,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1431,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1432,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
UBERON:0001357,inferior rectal artery,AS,blood_vasculature,UBERON:0001357
CL:0000071$$1433,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1434,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1435,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1436,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
UBERON:0001358,perineal artery,AS,blood_vasculature,UBERON:0001358
CL:0000071$$1437,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1438,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1439,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1440,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
FMA:20840,Transverse part of perineal artery,AS,blood_vasculature,FMA:20840
CL:0000071$$1441,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1442,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1443,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1444,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
FMA:20886,Posterior labial artery,AS,blood_vasculature,FMA:20886
CL:0000071$$1445,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1446,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1447,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1448,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
FMA:20853,Posterior scrotal artery,AS,blood_vasculature,FMA:20853
CL:0000071$$1449,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1450,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1451,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1452,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
UBERON:0034727,vestibular bulb artery,AS,blood_vasculature,UBERON:0034727
CL:0000071$$1453,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1454,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1455,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1456,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
FMA:18826$$1457,Middle rectal artery,AS,blood_vasculature,FMA:18826
CL:0000071$$1458,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1459,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1460,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1461,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
UBERON:0001314,obturator artery,AS,blood_vasculature,UBERON:0001314
CL:0000071$$1462,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1463,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1464,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1465,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
FMA:70175,Trunk of acetabular part of obturator artery,AS,blood_vasculature,FMA:70175
CL:0000071$$1466,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1467,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1468,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1469,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
FMA:70150,Trunk of anterior part of obturator artery,AS,blood_vasculature,FMA:70150
CL:0000071$$1470,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1471,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1472,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1473,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
ASCTB-TEMP:posterior-branch-of-obturator-artery,posterior branch of obturator artery,AS,blood_vasculature,ASCTB-TEMP:posterior-branch-of-obturator-artery
CL:0000071$$1474,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1475,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1476,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1477,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
UBERON:0001312,superior vesical artery,AS,blood_vasculature,UBERON:0001312
CL:0000071$$1478,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1479,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1480,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1481,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
UBERON:0035640,middle vesical artery,AS,blood_vasculature,UBERON:0035640
CL:0000071$$1482,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1483,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1484,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1485,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
UBERON:0001310,umbilical artery,AS,blood_vasculature,UBERON:0001310
CL:0000071$$1486,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1487,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1488,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1489,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
UBERON:8600041,chorionic terminal villous capillary,AS,blood_vasculature,UBERON:8600041
